회사명0,거래소코드1,회계연도2,[공통]   당기순손익(요약)(IFRS)3,[공통]   *영업에서 창출된 현금흐름(요약)(IFRS)4,[공통]총자본순이익률(IFRS)5,[공통]부채비율(IFRS)6,PCR(최고)(IFRS)7,[공통]   보통주(IFRS)8,[공통]   우선주(IFRS)9,[공통]매출액증가율(IFRS)10,[공통]순이익증가율(IFRS),[공통]총자본회전률(IFRS),종가
(주)BNK금융지주,138930,Dec-11,122570,124597,,,,193379899,0,,,,11050
(주)BNK금융지주,138930,Dec-12,80435,88935,2.36,24.19,35.54,193379899,0,0,0,0.03,13200
(주)BNK금융지주,138930,Dec-13,61140,78050,1.77,28.12,51.66,193379899,0,-9.17,-23.99,0.03,16000
(주)BNK금융지주,138930,Dec-14,356414,378639,8.86,27.84,10.75,234379899,0,284.69,482.95,0.1,14500
(주)BNK금융지주,138930,Dec-15,6371,32479,0.13,28.35,0,255935246,0,-83.81,-98.21,0.01,8420
(주)BNK금융지주,138930,Dec-16,76019,-6901,1.38,26.83,36.66,325935246,0,99.25,1093.17,0.02,8680
(주)BNK금융지주,138930,Dec-17,131203,46895,2.25,26.96,19.68,325935246,0,42.36,72.59,0.03,9420
(주)BNK금융지주,138930,Dec-18,29074,-32092,0.49,26.58,125.9,325935246,0,-45.03,-77.84,0.02,7330
(주)BNK금융지주,138930,Dec-19,91575,-87407,1.5,23.17,84.35,325935246,0,57.09,214.98,0.03,7660
(주)BNK금융지주,138930,Dec-20,250300,-18606,4.01,22.93,9.75,325935246,0,94.22,173.33,0.05,5680
(주)BNK금융지주,138930,Dec-21,206303,-41553,3.13,29.96,14.68,325935246,0,-10.1,-17.58,0.04,8400
(주)CMG제약,58820,Dec-11,-1264,-2353,-4.66,50.61,0,43693200,0,56.4,0,0.65,785
(주)CMG제약,58820,Dec-12,-6893,-1315,-16.31,80.33,0,66025540,0,-8.43,0,0.38,1330
(주)CMG제약,58820,Dec-13,335,-4783,0.59,14.1,0,86626866,0,25.02,0,0.36,932
(주)CMG제약,58820,Dec-14,172,466,0.3,18.46,199.24,86626866,0,11.96,-48.84,0.4,912
(주)CMG제약,58820,Dec-15,-3649,2273,-6.36,20.74,139.15,88297244,0,18.85,0,0.47,2110
(주)CMG제약,58820,Dec-16,1693,3237,2.02,9.76,249.93,108707244,0,21.92,0,0.39,3180
(주)CMG제약,58820,Dec-17,2835,1118,2.57,11.87,526.73,108887244,0,25.98,67.4,0.38,6240
(주)CMG제약,58820,Dec-18,6065,434,5.42,10,1074.41,108887244,0,20.05,113.94,0.45,4235
(주)CMG제약,58820,Dec-19,3051,1933,1.99,6.71,207.88,138892244,0,17.56,-49.69,0.38,4250
(주)CMG제약,58820,Dec-20,215,2542,0.11,7.85,334.93,138892244,0,9.96,-92.95,0.33,5780
(주)CMG제약,58820,Dec-21,3165,5135,1.6,7.84,167.55,138892244,0,7.78,1372.34,0.35,3835
(주)DB하이텍,990,Dec-11,-93084,95217,-7.31,305.87,13.09,42779949,143335,-9.96,0,0.42,7250
(주)DB하이텍,990,Dec-12,-48507,90101,-2.75,318.52,7.23,44367832,143335,9.28,0,0.5,6330
(주)DB하이텍,990,Dec-13,-73243,83958,-6.66,431.96,14.01,44367832,143335,-15.44,0,0.45,7530
(주)DB하이텍,990,Dec-14,-58320,122211,-5.69,636.17,8.22,44367832,143335,14.98,0,0.55,4615
(주)DB하이텍,990,Dec-15,127470,196102,12.7,262.19,5.71,44367832,143335,17.42,0,0.66,14300
(주)DB하이텍,990,Dec-16,88002,267545,8.75,176.13,3.78,44367832,143335,15.98,-30.96,0.77,15900
(주)DB하이텍,990,Dec-17,74402,205992,7.5,121.4,5.73,44367832,143335,-12.08,-15.45,0.69,12000
(주)DB하이텍,990,Dec-18,95087,224133,9.38,93.66,5.07,44398588,112579,-1.54,27.8,0.66,10850
(주)DB하이텍,990,Dec-19,121160,195804,11.32,68.82,7.99,44398588,112579,20.64,27.42,0.75,27600
(주)DB하이텍,990,Dec-20,165658,360326,14.6,48.29,7.5,44398588,112579,15.92,36.73,0.83,51000
(주)DB하이텍,990,Dec-21,316920,474589,23.24,39.99,9.01,44398588,112579,29.78,91.31,0.89,72700
(주)ES큐브,50120,Dec-11,-2933,1194,-6.3,15.56,41.9,23243905,0,20.38,0,0.9,2120
(주)ES큐브,50120,Dec-12,517,4287,1.15,12.02,30.39,23393158,0,5.94,0,0.98,3430
(주)ES큐브,50120,Dec-13,-14749,4208,-32,8.69,26.91,36493326,0,3.72,0,0.99,1540
(주)ES큐브,50120,Dec-14,-2412,2313,-5.22,8.95,27.05,36493326,0,-18.84,0,0.8,1395
(주)ES큐브,50120,Dec-15,3610,2937,7.85,5.02,28.44,36493326,0,-0.81,0,0.8,1605
(주)ES큐브,50120,Dec-16,17469,3550,23.05,49.59,28.71,41621527,0,-5.61,383.86,0.46,1705
(주)ES큐브,50120,Dec-17,1219,4417,1.16,46.85,51.12,83243054,0,6.57,-93.02,0.35,1030
(주)ES큐브,50120,Dec-18,-3836,460,-3.6,63.08,1520.58,83243054,0,-15.62,0,0.29,668
(주)ES큐브,50120,Dec-19,-12739,3015,-10.42,152.04,59.25,83088255,0,-8.88,0,0.23,852
(주)ES큐브,50120,Dec-20,-29081,1096,-26.67,12.4,0,135640864,0,6.19,0,0.28,558
(주)ES큐브,50120,Dec-21,5695,3240,7.2,16.65,32.75,13564086,0,35.69,0,0.52,4960
(주)HJ중공업,97230,Dec-11,-116272,-153848,-1.91,212.4,0,48288465,0,-15.3,0,0.38,18550
(주)HJ중공업,97230,Dec-12,13082,-75490,0.22,218.65,0,48288465,0,-14.48,0,0.34,12500
(주)HJ중공업,97230,Dec-13,-212716,-99364,-3.61,223.6,0,69288465,0,-2.7,0,0.33,12050
(주)HJ중공업,97230,Dec-14,-225739,46638,-3.99,210.45,0,102288465,0,-6.66,0,0.32,4445
(주)HJ중공업,97230,Dec-15,-260118,238363,-5.15,236.72,6.86,102288465,0,13.47,0,0.4,3900
(주)HJ중공업,97230,Dec-16,-334429,162345,-7.81,333.73,6.28,106052508,0,-5.52,0,0.45,3365
(주)HJ중공업,97230,Dec-17,-299028,431985,-8.27,487.9,1.5,106052508,0,-9.91,0,0.48,3310
(주)HJ중공업,97230,Dec-18,-963474,272843,-33.8,0,2.34,106052508,0,0.78,0,0.61,1655
(주)HJ중공업,97230,Dec-19,-73654,186473,-3.03,897.14,6.32,83274281,0,-8.08,0,0.66,4985
(주)HJ중공업,97230,Dec-20,76553,281651,3.29,583.21,3.38,83274281,0,5.29,0,0.73,7320
(주)HJ중공업,97230,Dec-21,-139995,-85085,-6.13,450.92,0,83274281,0,0.66,0,0.75,8040
(주)JB금융지주,175330,Dec-13,10416,-950,,,,66824362,0,,,,6360
(주)JB금융지주,175330,Dec-14,14985,-7058,0.92,28.34,55.2,126503947,0,0,0,0.02,6090
(주)JB금융지주,175330,Dec-15,28483,-2422,1.67,24.38,36.63,155439423,0,62.91,90.08,0.03,5500
